2019-01-29 18:47:24 - getBjBus.py[line:151] - INFO: 获取路线18(惠新东桥南-国际展览中心)的时间!
2019-01-29 18:47:24 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5533935914189827245
2019-01-29 18:47:24 - getBjBus.py[line:144] - INFO: 获取路线19的方向名称!
2019-01-29 18:47:24 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=19
2019-01-29 18:47:24 - getBjBus.py[line:148] - INFO: 获取路线19(翠林小区-动物园枢纽站)的站点!
2019-01-29 18:47:24 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=4740819470779477763
2019-01-29 18:47:24 - getBjBus.py[line:151] - INFO: 获取路线19(翠林小区-动物园枢纽站)的时间!
2019-01-29 18:47:24 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=4740819470779477763
2019-01-29 18:47:24 - getBjBus.py[line:148] - INFO: 获取路线19(动物园枢纽站-翠林小区)的站点!
2019-01-29 18:47:24 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5670579018584639346
2019-01-29 18:47:24 - getBjBus.py[line:151] - INFO: 获取路线19(动物园枢纽站-翠林小区)的时间!
2019-01-29 18:47:24 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5670579018584639346
2019-01-29 18:47:24 - getBjBus.py[line:144] - INFO: 获取路线20的方向名称!
2019-01-29 18:47:24 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=20
2019-01-29 18:47:25 - getBjBus.py[line:148] - INFO: 获取路线20(北京站东-北京南站)的站点!
2019-01-29 18:47:25 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=4630099364055880031
2019-01-29 18:47:25 - getBjBus.py[line:151] - INFO: 获取路线20(北京站东-北京南站)的时间!
2019-01-29 18:47:25 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=4630099364055880031
2019-01-29 18:47:25 - getBjBus.py[line:148] - INFO: 获取路线20(北京南站-北京站东)的站点!
2019-01-29 18:47:25 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=4787291681654914442
2019-01-29 18:47:25 - getBjBus.py[line:151] - INFO: 获取路线20(北京南站-北京站东)的时间!
2019-01-29 18:47:25 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=4787291681654914442
2019-01-29 18:47:25 - getBjBus.py[line:144] - INFO: 获取路线21的方向名称!
2019-01-29 18:47:25 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=21
2019-01-29 18:47:25 - getBjBus.py[line:148] - INFO: 获取路线21(安华桥北-北京西站)的站点!
2019-01-29 18:47:25 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=4668885623850863256
2019-01-29 18:47:25 - getBjBus.py[line:151] - INFO: 获取路线21(安华桥北-北京西站)的时间!
2019-01-29 18:47:25 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=4668885623850863256
2019-01-29 18:47:26 - getBjBus.py[line:148] - INFO: 获取路线21(北京西站-安华桥北)的站点!
2019-01-29 18:47:26 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5641099242353514912
2019-01-29 18:47:26 - getBjBus.py[line:151] - INFO: 获取路线21(北京西站-安华桥北)的时间!
2019-01-29 18:47:26 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5641099242353514912
2019-01-29 18:47:26 - getBjBus.py[line:144] - INFO: 获取路线22的方向名称!
2019-01-29 18:47:26 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=22
2019-01-29 18:47:26 - getBjBus.py[line:148] - INFO: 获取路线22(牡丹园西-前门)的站点!
2019-01-29 18:47:26 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=4727021090576994387
2019-01-29 18:47:26 - getBjBus.py[line:151] - INFO: 获取路线22(牡丹园西-前门)的时间!
2019-01-29 18:47:26 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=4727021090576994387
2019-01-29 18:47:26 - getBjBus.py[line:148] - INFO: 获取路线22(前门-牡丹园西)的站点!
2019-01-29 18:47:26 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=4818376743064804734
2019-01-29 18:47:27 - getBjBus.py[line:151] - INFO: 获取路线22(前门-牡丹园西)的时间!
2019-01-29 18:47:27 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=4818376743064804734
